Symbol,Strategy,FinalEquity,AnnRet,AnnVol,Sharpe,MaxDD,Calmar,param_mr_window,param_vol_q,param_fee_bps
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.1,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,10,0.1,0.5
SPY,Mean Reversion,2.4703787514431648,0.06330222609192826,0.13514094612307373,0.5220993617403427,-1.8447761931468512,0.03431431212473868,10,0.1,0.5
SPY,Mean Reversion with Regime,1.285655608782489,0.017199765570849346,0.043207618717631076,0.41625303482689996,-1.108244004842668,0.015519836331793296,10,0.1,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.1,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,10,0.1,0.5
2330.TW,Mean Reversion,7.818492412789454,0.1555738681969514,0.17494035035724262,0.9141189879460326,-2.877617901051485,0.054063421047007156,10,0.1,0.5
2330.TW,Mean Reversion with Regime,1.7259209937694902,0.03911959095992357,0.05476354986635113,0.727959648490178,-1.1455914823227282,0.0341479415337544,10,0.1,0.5
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.1,1.0
SPY,Momentum,0.8895836377995284,-0.00790942198732203,0.09000985900875413,-0.04260654123395286,-1.521339461989862,-0.005198985620853328,10,0.1,1.0
SPY,Mean Reversion,2.392224923801933,0.060984791990752685,0.13514320472422042,0.505944732466247,-1.8338415443303873,0.03325521345030974,10,0.1,1.0
SPY,Mean Reversion with Regime,1.2761804568242994,0.01668921395594425,0.04320359256899885,0.4046669730477338,-1.1085907979365888,0.015054440274091892,10,0.1,1.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.1,1.0
2330.TW,Momentum,1.7567743132713727,0.04041496862181093,0.1331595089990732,0.3639398825476993,-1.3425946063596075,0.030102138374735864,10,0.1,1.0
2330.TW,Mean Reversion,7.56100135619649,0.15285611672912025,0.17494248705158238,0.9006435767832067,-2.8349222060877146,0.053918981057355604,10,0.1,1.0
2330.TW,Mean Reversion with Regime,1.7121836211210553,0.03853588656282181,0.05475299450550506,0.7178265748886418,-1.1453954503397885,0.03364417638588481,10,0.1,1.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.1,2.0
SPY,Momentum,0.7771461679923278,-0.01696618423946017,0.09001846744107835,-0.14446144745355044,-1.5390435417769819,-0.011023849409660618,10,0.1,2.0
SPY,Mean Reversion,2.243245740733738,0.056364719358437565,0.13514972420622626,0.4736300767223188,-1.8122828900972603,0.031101501684106626,10,0.1,2.0
SPY,Mean Reversion with Regime,1.25743773613433,0.015668802896923406,0.04319721364857997,0.38147359191718805,-1.1092834477221105,0.014125157036372401,10,0.1,2.0
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.1,2.0
2330.TW,Momentum,1.5322455065355438,0.030459435041078287,0.133133243266696,0.2917626365296316,-1.3450111173933508,0.022646232917471396,10,0.1,2.0
2330.TW,Mean Reversion,7.0711447660677464,0.14743936889126252,0.17494840239621545,0.8736855419995164,-2.752298394124411,0.05356954362434507,10,0.1,2.0
2330.TW,Mean Reversion with Regime,1.6850340130963064,0.03736937388375816,0.05473335044147036,0.6975300105483128,-1.1449899567821842,0.03263729403249873,10,0.1,2.0
SPY,Buy&Hold,6.57202537023068,0.13631033926210834,0.1709404082602463,0.833541156725043,-2.2558361121045976,0.06042563931425705,10,0.7,0.5
SPY,Momentum,0.9517581916574899,-0.0033501413342850173,0.09000798468362174,0.008327993351932983,-1.5111984469617847,-0.0022168771685944803,10,0.7,0.5
SPY,Mean Reversion,2.4703787514431648,0.06330222609192826,0.13514094612307373,0.5220993617403427,-1.8447761931468512,0.03431431212473868,10,0.7,0.5
SPY,Mean Reversion with Regime,2.496247425244954,0.06405425141011523,0.08158293420233523,0.8018919420932653,-1.2307669118551319,0.052044177328074585,10,0.7,0.5
2330.TW,Buy&Hold,27.586594324235275,0.2626968130412368,0.2525452682972516,1.0499831172641059,-8.398519125197021,0.03127894443356098,10,0.7,0.5
2330.TW,Momentum,1.8810812504681318,0.04542836934526262,0.13317431461065452,0.40001280442835524,-1.3413082859008605,0.03386870104567471,10,0.7,0.5
2330.TW,Mean Reversion,7.818492412789454,0.1555738681969514,0.17494035035724262,0.9141189879460326,-2.877617901051485,0.054063421047007156,10,0.7,0.5
